Nama Wilayah,2020,2019
ACEH,814.91,819.44
Simeulue,17.34,17.67
Aceh Singkil,25.43,25.66
Aceh Selatan,30.91,31.06
Aceh Tenggara,28.98,28.93
Aceh Timur,62.34,62.79
Aceh Tengah,32.48,32.78
Aceh Barat,39.06,39.29
Aceh Besar,59.7,58.9
Pidie,86.39,86.29
Bireuen,62.42,63.6
Aceh Utara,106.41,107.34
Aceh Barat Daya,24.21,24.36
Gayo Lues,18.42,18.63
Aceh Tamiang,38.93,39.35
Nagan Raya,29.99,29.93
Aceh Jaya,12.11,12.35
Bener Meriah,28.38,28.45
Pidie Jaya,31.39,30.97
Kota Banda Aceh,18.97,19.42
Kota Sabang,5.27,5.43
Kota Langsa,18.65,18.62
Kota Lhokseumawe,22.69,23.05
Kota Subulussalam,14.46,14.56
SUMATERA UTARA,1283.29,1282.04
Nias,23.12,22.1
Mandailing Natal,41.31,40.64
Tapanuli Selatan,23.96,24.22
Tapanuli Tengah,47.19,46.99
Tapanuli Utara,28.41,28.57
Toba Samosir,16.05,15.78
Labuhan Batu,42.17,41.52
Asahan,66.32,70.53
Simalungun,73.64,76.33
Dairi,22.93,21.86
Karo,36.57,34.08
Deli Serdang,86.26,84.94
Langkat,101.87,103.08
Nias Selatan,53.88,52.51
Humbang Hasundutan,17.92,16.6
Pakpak Bharat,4.59,4.52
Samosir,15.8,15.79
Serdang Bedagai,49.18,48.69
Batu Bara,49.78,50.46
Padang Lawas Utara,26.79,26.06
Padang Lawas,23.87,23.17
Labuhan Batu Selatan,28.63,30.17
Labuhan Batu Utara,34.86,34.76
Nias Utara,34.75,34.42
Nias Barat,22.33,22.08
Kota Sibolga,10.49,10.82
Kota Tanjung Balai,23.54,24.54
Kota Pematang Siantar,21.23,21.99
Kota Tebing Tinggi,16.32,16.3
Kota Medan,183.54,183.79
Kota Binjai,15.91,15.61
Kota Padangsidimpuan,16.56,16.06
Kota Gunungsitoli,23.54,23.06
SUMATERA BARAT,344.23,348.22
Kepulauan Mentawai,13.37,13.22
Pesisir Selatan,35.46,36.51
Solok,29.28,29.74
Sijunjung,16.28,16.65
Tanah Datar,15.34,16.2
Padang Pariaman,28.98,29.48
Agam,33.31,33.1
Lima Puluh Kota,26.43,26.64
Pasaman,20.29,20.22
Solok Selatan,12.39,12.5
Dharmasraya,15.7,15.49
Pasaman Barat,31.64,31.53
Kota Padang,42.17,42.44
Kota Solok,1.99,2.29
Kota Sawah Lunto,1.36,1.35
Kota Padang Panjang,2.84,3
Kota Bukittinggi,6.01,6
Kota Payakumbuh,7.74,7.68
Kota Pariaman,3.66,4.2
RIAU,483.39,490.72
Kuantan Singingi,29.34,31.22
Indragiri Hulu,26.66,26.66
Indragiri Hilir,44.29,48.29
Pelalawan,45.88,45.98
Siak,25.38,24.49
Kampar,65.3,66.81
Rokan Hulu,73.35,72.21
Bengkalis,36.96,35.83
Rokan Hilir,48.85,49.8
Kepulauan Meranti,47.1,49.89
Kota Pekanbaru,30.4,28.6
Kota Dumai,9.88,10.95
JAMBI,277.8,274.32
Kerinci,17.48,17
Merangin,33.92,32.88
Sarolangun,25.79,25.39
Batang Hari,26.54,26.53
Muaro Jambi,17.3,16.86
Tanjung Jabung Timur,24.23,25.35
Tanjung Jabung Barat,34.79,35.12
Tebo,22.47,22.83
Bungo,22.07,20.87
Kota Jambi,50.44,48.95
Kota Sungai Penuh,2.78,2.55
SUMATERA SELATAN,1081.59,1073.74
Ogan Komering Ulu,47.3,46.84
Ogan Komering Ilir,123.34,124.14
Muara Enim,79.27,78.75
Lahat,65.75,65.03
Musi Rawas,54.95,53.82
Musi Banyuasin,105.38,105.83
Banyu Asin,96.27,96.55
Ogan Komering Ulu Selatan,39.5,37.92
Ogan Komering Ulu Timur,71.1,70.4
Ogan Ilir,57.97,57.06
Empat Lawang,31.89,30.68
Penukal Abab Lematang Ilir,24.17,25.47
Musi Rawas Utara,37.75,36.63
Kota Palembang,182.61,180.67
Kota Prabumulih,21.83,21.62
Kota Pagar Alam,12.71,12.37
Kota Lubuklinggau,29.8,29.98
BENGKULU,302.58,302.3
Bengkulu Selatan,28.41,29.3
Rejang Lebong,41.47,41.57
Bengkulu Utara,36.67,35.94
Kaur,22.57,22.84
Seluma,36.23,36.92
Mukomuko,23.1,22.56
Lebong,13.97,13.67
Kepahiang,20.27,20.18
Bengkulu Tengah,10.79,10.06
Kota Bengkulu,69.12,69.26
LAMPUNG,1049.32,1063.66
Lampung Barat,38.12,39.05
Tanggamus,70.37,71.9
Lampung Selatan,143.33,144.44
Lampung Timur,153.57,158.9
Lampung Tengah,152.28,153.84
Lampung Utara,119.35,122.65
Way Kanan,58.41,58.72
Tulangbawang,42.43,42.06
Pesawaran,66.04,67.36
Pringsewu,40.12,40.55
Mesuji,14.72,14.94
Tulang Bawang Barat,20.29,21.14
Pesisir Barat,22.24,22.38
Kota Bandar Lampung,93.74,91.24
Kota Metro,14.31,14.49
KEP. BANGKA BELITUNG,68.4,68.38
Bangka,15.41,16.52
Belitung,12.07,11.88
Bangka Barat,5.83,5.65
Bangka Tengah,9.64,9.8
Bangka Selatan,7.49,7.02
Belitung Timur,8.56,8.51
Kota Pangkal Pinang,9.4,9
KEPULAUAN RIAU,131.97,128.46
Karimun,15.99,15.36
Bintan,10.21,10.14
Natuna,3.47,3.43
Lingga,12.45,11.56
Kepulauan Anambas,2.8,2.72
Kota Batam,67.06,66.21
Kota Tanjung Pinang,19.98,19.05
DKI JAKARTA,480.86,365.55
Kepulauan Seribu,3.63,2.93
Kota Jakarta Selatan,78.09,61.76
Kota Jakarta Timur,122.73,91.61
Kota Jakarta Pusat,41.92,34.13
Kota Jakarta Barat,110.9,84.02
Kota Jakarta Utara,123.59,91.09
JAWA BARAT,3920.23,3399.16
Bogor,465.67,395.03
Sukabumi,175.1,153.3
Cianjur,234.47,207.07
Bandung,263.6,223.21
Garut,262.78,235.19
Tasikmalaya,181.52,159.93
Ciamis,91.39,79.41
